"","date","Address","pcode","County","cost","market","vat","des"
"1","01/01/2017","1 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","242,424.00","Yes","No","Second-Hand Dwelling house /Apartment"
"2","01/01/2017","11 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","242,424.00","Yes","No","Second-Hand Dwelling house /Apartment"
"3","01/01/2017","124 SEAFIELD RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","535,500.00","Yes","No","Second-Hand Dwelling house /Apartment"
"4","01/01/2017","126 SEAFIELD RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","630,000.00","No","No","Second-Hand Dwelling house /Apartment"
"5","01/01/2017","128 SEAFIELD RD, CLONTARF, DUBLIN 3","Dublin 3","Dublin","535,500.00","Yes","No","Second-Hand Dwelling house /Apartment"
"6","01/01/2017","13 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","271,800.00","Yes","No","Second-Hand Dwelling house /Apartment"
"7","01/01/2017","18 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","242,424.00","Yes","No","Second-Hand Dwelling house /Apartment"
"8","01/01/2017","20 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","360,000.00","No","No","Second-Hand Dwelling house /Apartment"
"9","01/01/2017","25 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST","Dublin 3","Dublin","148,148.00","Yes","No","Second-Hand Dwelling house /Apartment"
"10","01/01/2017","32 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","352,800.00","Yes","No","Second-Hand Dwelling house /Apartment"
"11","01/01/2017","35 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","215,600.00","Yes","No","Second-Hand Dwelling house /Apartment"
"12","01/01/2017","5 SEAFIELD GROVE, CLONTARF, DUBLIN 3","Dublin 3","Dublin","830,000.00","No","No","Second-Hand Dwelling house /Apartment"
"13","01/01/2017","8 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3","Dublin 3","Dublin","271,800.00","Yes","No","Second-Hand Dwelling house /Apartment"
"14","01/01/2017","9 TEAL HOUSE, REDCOURT OAKS SEAFIELD RD EAST, CLONTARF","Dublin 3","Dublin","66,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"16","03/01/2017","114 SHELMARTIN AVE, MARINO, DUBLIN 3","Dublin 3","Dublin","375,000.00","No","No","Second-Hand Dwelling house /Apartment"
"18","03/01/2017","180 THE LINKS, ELM PARK, MERRION RD DUBLIN 4","Dublin 4","Dublin","292,000.00","No","No","Second-Hand Dwelling house /Apartment"
"20","03/01/2017","74 ST MAGDALEN TERRACE, STELLA GARDENS, IRISHTOWN DUBLIN 4","Dublin 4","Dublin","452,000.00","No","No","Second-Hand Dwelling house /Apartment"
"23","04/01/2017","117 BALALLY DR, DUNDRUM, DUBLIN 16","Dublin 16","Dublin","625,000.00","No","No","Second-Hand Dwelling house /Apartment"
"25","04/01/2017","129 THE LINKS, ELMPARK, MERRION RD DUBLIN 4","Dublin 4","Dublin","100,000.00","No","No","Second-Hand Dwelling house /Apartment"
"26","04/01/2017","130 THE LINKS, ELMPARK, MERRION RD DUBLIN 4","Dublin 4","Dublin","100,000.00","No","No","Second-Hand Dwelling house /Apartment"
"28","04/01/2017","18 GAZELLE LANE, TYRRELSTOWN, DUBLIN 15","Dublin 15","Dublin","210,000.00","No","No","Second-Hand Dwelling house /Apartment"
"31","04/01/2017","23 OAKLANDS DR, RATHGAR, DUBLIN 6","Dublin 6","Dublin","915,000.00","No","No","Second-Hand Dwelling house /Apartment"
"35","04/01/2017","31 CHERRY ORCHARD GREEN, CHERRY ORCHARD, BALLYFERMOT DUBLIN 10","Dublin 10","Dublin","161,000.00","No","No","Second-Hand Dwelling house /Apartment"
"37","04/01/2017","4 LORCAN DR, SANTRY, DUBLIN 9","Dublin 9","Dublin","337,500.00","No","No","Second-Hand Dwelling house /Apartment"
"38","04/01/2017","4 OTTERBROOK, WILLBROOK RD, RATHFARNHAM DUBLIN 14","Dublin 14","Dublin","357,500.00","No","No","Second-Hand Dwelling house /Apartment"
"39","04/01/2017","46 GLEDSWOOD PARK, CLONSKEAGH, DUBLIN 14","Dublin 14","Dublin","612,000.00","No","No","Second-Hand Dwelling house /Apartment"
"40","04/01/2017","67 MARLBOROUGH COURT, MARLBOROUGH ST, DUBLIN 1","Dublin 1","Dublin","206,000.00","No","No","Second-Hand Dwelling house /Apartment"
"41","04/01/2017","70 PREMIER SQ, FINGLAS, DUBLIN 11","Dublin 11","Dublin","199,000.00","No","No","Second-Hand Dwelling house /Apartment"
"44","04/01/2017","9 WADELAI RD, GLASNEVIN, DUBLIN 11","Dublin 11","Dublin","355,000.00","No","No","Second-Hand Dwelling house /Apartment"
"45","04/01/2017","92 SHANDON PARK, PHIBSBOROUGH, DUBLIN","Dublin 7","Dublin","450,000.00","No","No","Second-Hand Dwelling house /Apartment"
"46","04/01/2017","APT 1, 23 LOWER LEESON ST, DUBLIN 2","Dublin 2","Dublin","2,150,000.00","No","No","Second-Hand Dwelling house /Apartment"
