"","date","Address","pcode","County","cost","market","vat","des"
"1","02/01/2018","1 ABBEY ST, HOWTH, DUBLIN","Dublin 7","Dublin","710,000.00","No","No","Second-Hand Dwelling house /Apartment"
"2","02/01/2018","1 ROSEVILLE, LOWER ROAD, SHANKILL","Dublin 18","Dublin","627,230.70","No","No","Second-Hand Dwelling house /Apartment"
"4","02/01/2018","236 PHIBSBORO RD, DUBLIN 7, DUBLIN","Dublin 7","Dublin","277,000.00","No","No","Second-Hand Dwelling house /Apartment"
"6","02/01/2018","34 SLANE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","325,000.00","No","No","Second-Hand Dwelling house /Apartment"
"8","02/01/2018","62 ABBERLEY APTS, ABBERLEY SQ, HIGH ST DUBLIN 24","Dublin 24","Dublin","180,000.00","No","No","Second-Hand Dwelling house /Apartment"
"9","02/01/2018","89 CROMWELLSFORT RD, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","350,000.00","No","No","Second-Hand Dwelling house /Apartment"
"10","02/01/2018","APT 67 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3","Dublin 3","Dublin","230,000.00","No","No","Second-Hand Dwelling house /Apartment"
"13","03/01/2018","10 SHANTALLA PARK, BEAUMONT, DUBLIN 9","Dublin 9","Dublin","360,000.00","No","No","Second-Hand Dwelling house /Apartment"
"15","03/01/2018","147 KILDARE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","372,000.00","No","No","Second-Hand Dwelling house /Apartment"
"17","03/01/2018","16 CLEARSTREAM COURT, MCKEE AVENUE, FINGLAS","Dublin 11","Dublin","200,000.00","No","No","Second-Hand Dwelling house /Apartment"
"18","03/01/2018","17 WOODSTOWN LANE, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","456,000.00","No","No","Second-Hand Dwelling house /Apartment"
"20","03/01/2018","25 CASTLEKNOCK DOWNS, DUBLIN 15, DUBLIN","Dublin 15","Dublin","342,000.00","No","No","Second-Hand Dwelling house /Apartment"
"23","03/01/2018","40 HERBERT PARK, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","2,725,000.00","No","No","Second-Hand Dwelling house /Apartment"
"25","03/01/2018","61 CROMCASTLE RD, KILMORE WEST, COOLOCK DUBLIN 5","Dublin 5","Dublin","302,500.00","No","No","Second-Hand Dwelling house /Apartment"
"27","03/01/2018","65 COLLEGEFORT, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","245,000.00","No","No","Second-Hand Dwelling house /Apartment"
"29","03/01/2018","APT 18, MARYLAND HOUSE BEECHFIELD HAVEN, SHANKILL","Dublin 18","Dublin","305,000.00","No","No","Second-Hand Dwelling house /Apartment"
"30","03/01/2018","APT 4, 39 LOWER DORSET ST, DUBLIN","Dublin 1","Dublin","197,000.00","No","No","Second-Hand Dwelling house /Apartment"
"32","04/01/2018","1 MAPLE, HAZELDENE, DONNYBROOK DUBLIN 4","Dublin 4","Dublin","765,000.00","No","No","Second-Hand Dwelling house /Apartment"
"33","04/01/2018","1 PARK HOUSE, WILLANS DR, ONGAR GREEN DUBLIN 15","Dublin 15","Dublin","143,000.00","No","No","Second-Hand Dwelling house /Apartment"
"34","04/01/2018","101 COOLEY RD, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","290,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"35","04/01/2018","11 WARRENMOUNT PLACE, BLACKPITTS, DUBLIN 8","Dublin 8","Dublin","365,000.00","No","No","Second-Hand Dwelling house /Apartment"
"36","04/01/2018","120 DOWLAND RD, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","307,000.00","No","No","Second-Hand Dwelling house /Apartment"
"37","04/01/2018","14 Willow House, Silverbanks, Baldoyle","Dublin 13","Dublin","219,512.20","No","Yes","New Dwelling house /Apartment"
"39","04/01/2018","16 CRESTFIELD AVE, WHITEHALL, DUBLIN 9","Dublin 9","Dublin","460,000.00","No","No","Second-Hand Dwelling house /Apartment"
"40","04/01/2018","16 Grace Park Grove, Grace Park Wood, Grace Park Road","Dublin 9","Dublin","453,744.00","No","Yes","New Dwelling house /Apartment"
"41","04/01/2018","16 ST JOSEPHS SQ, CLONTARF, DUBLIN 3","Dublin 3","Dublin","395,000.00","No","No","Second-Hand Dwelling house /Apartment"
"42","04/01/2018","180 BEAUVALE PARK, ARTANE, DUBLIN 5","Dublin 5","Dublin","350,000.00","No","No","Second-Hand Dwelling house /Apartment"
"43","04/01/2018","21 CAIRNWOOD COURT, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","260,000.00","No","No","Second-Hand Dwelling house /Apartment"
"44","04/01/2018","21 THE PARK, BEAUMONT WOODS, BEAUMONT DUBLIN 9","Dublin 9","Dublin","420,000.00","No","No","Second-Hand Dwelling house /Apartment"
"46","04/01/2018","28 HAZELWOOD COURT, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","250,000.00","No","No","Second-Hand Dwelling house /Apartment"
"47","04/01/2018","32 ABBEY PARK, KILLESTER, DUBLIN 5","Dublin 5","Dublin","400,000.00","No","No","Second-Hand Dwelling house /Apartment"
"48","04/01/2018","32 Dodderbrook Drive, Dublin 24","Dublin 24","Dublin","370,000.00","No","Yes","New Dwelling house /Apartment"
"50","04/01/2018","365 CLOGHER ROAD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","270,000.00","Yes","No","Second-Hand Dwelling house /Apartment"
"51","04/01/2018","38 The Green, The Paddocks, Hansfield","Dublin 15","Dublin","286,343.60","No","Yes","New Dwelling house /Apartment"
"52","04/01/2018","39 THE RED MILL, NORTH BRUNSWICK ST, DUBLIN 7","Dublin 7","Dublin","203,778.00","No","No","Second-Hand Dwelling house /Apartment"
"53","04/01/2018","40A ARAS NA CLUAINE, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","115,000.00","No","No","Second-Hand Dwelling house /Apartment"
"55","04/01/2018","5  Willow House, Silverbanks, The Coast","Dublin 13","Dublin","140,969.16","No","Yes","New Dwelling house /Apartment"
"56","04/01/2018","61 BROOKFIELD EST, KIMMAGE CROSS RD, DUBLIN 12","Dublin 12","Dublin","445,000.00","No","No","Second-Hand Dwelling house /Apartment"
"57","04/01/2018","65 CHRISTCHURCH VIEW, NICHOLAS ST, DUBLIN 8","Dublin 8","Dublin","345,000.00","No","No","Second-Hand Dwelling house /Apartment"
"60","04/01/2018","90 MOUNT GARRETT PARK, TYRRELSTOWN, DUBLIN 15","Dublin 15","Dublin","175,000.00","No","No","Second-Hand Dwelling house /Apartment"
"62","04/01/2018","APT 9 GROUND FLOOR, TIMBER MILL, ARTANE DUBLIN 5","Dublin 5","Dublin","249,000.00","No","No","Second-Hand Dwelling house /Apartment"
"64","05/01/2018","11 Hollywood Rath Park, Hollystown","Dublin 15","Dublin","341,409.00","No","Yes","New Dwelling house /Apartment"
"65","05/01/2018","12 Grace Park way, Grace Park Wood, Grace Park Road","Dublin 9","Dublin","418,502.20","No","Yes","New Dwelling house /Apartment"
"67","05/01/2018","121 IVERAGH RD, GAELTACHT PARK, DUBLIN 9","Dublin 9","Dublin","193,800.00","Yes","No","Second-Hand Dwelling house /Apartment"
"69","05/01/2018","16 SPRINGBANK, SAGGART, DUBLIN","Dublin 24","Dublin","320,000.00","No","No","Second-Hand Dwelling house /Apartment"
"70","05/01/2018","19 GLANDORE RD, DRUMCONDRA, DUBLIN CITY","Dublin 9","Dublin","375,000.00","No","No","Second-Hand Dwelling house /Apartment"
"71","05/01/2018","19 GRANGEVIEW PLACE, GRANGEVIEW, CLONDALKIN DUBLIN 22","Dublin 22","Dublin","191,000.00","No","No","Second-Hand Dwelling house /Apartment"
"72","05/01/2018","19 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3","Dublin 3","Dublin","765,000.00","No","No","Second-Hand Dwelling house /Apartment"
"73","05/01/2018","19 PARK HOUSE, BENSON ST, DUBLIN 2","Dublin 2","Dublin","410,000.00","No","No","Second-Hand Dwelling house /Apartment"
"74","05/01/2018","2 SUNDALE PARADE, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","255,000.00","No","No","Second-Hand Dwelling house /Apartment"
"75","05/01/2018","21 CASTLEGRANGE DR, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","300,000.00","No","No","Second-Hand Dwelling house /Apartment"
"76","05/01/2018","21 DUNAWLEY DR, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","271,000.00","No","No","Second-Hand Dwelling house /Apartment"
"77","05/01/2018","26 DERRYNANE GARDENS, BATH AVE, SANDYMOUNT","Dublin 4","Dublin","580,000.00","No","No","Second-Hand Dwelling house /Apartment"
"79","05/01/2018","33 HUNTSTOWN DRIVE, MULHUDDART, DUBLIN 15","Dublin 15","Dublin","261,100.00","No","No","Second-Hand Dwelling house /Apartment"
"80","05/01/2018","33 RAVENSDALE DR, KIMMAGE, DUBLIN 12","Dublin 12","Dublin","500,000.00","No","No","Second-Hand Dwelling house /Apartment"
